title,publication,canonical_publication,date,language,category,original_url,source_row,status
"Grubbs, David - A guest at the riddle",Musicboom.it,MusicBoom,2004-09-13,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040912185956,66,master-list; not in Squarespace portfolio
"Hammerfall - Chapter V: Unbent, Unbowed, Unbroken",Musicboom.it,MusicBoom,2005-03-18,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050317230944,67,master-list; not in Squarespace portfolio
Hatebreed - Supremacy,Kronic.it,Kronic,2006-11-02,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14088,68,master-list; not in Squarespace portfolio
Hatesphere - Ballet Of The Brute,Kronic.it,Kronic,2004-07-15,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=10433,69,master-list; not in Squarespace portfolio
"Hearse - Armageddon, mon amour",Musicboom.it,MusicBoom,2004-07-20,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040717220727,70,master-list; not in Squarespace portfolio
Helloween - Keeper Of The Seven Keys - The Legacy,Musicboom.it,MusicBoom,2006-01-31,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20060130033538,71,master-list; not in Squarespace portfolio
Himsa - Courting tragedy and disaster,Kronic.it,Kronic,2003-09-09,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=8641,72,master-list; not in Squarespace portfolio
Himsa - Courting tragedy and disaster,Nerds Attack !,Nerds Attack!,2003-09-05,unknown,Music reviews,http://www.musicaroma.it/nerds/articolone.asp?ID=558,73,master-list; not in Squarespace portfolio
Himsa - Courting tragedy and disaster,Dedication.it,Dedication.it,2003-08-02,unknown,Music reviews,http://www.dedication.it/trlist-himsa.htm,74,master-list; not in Squarespace portfolio
Hypocrisy - Virus,Musicboom.it,MusicBoom,2005-12-21,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051126044444,75,master-list; not in Squarespace portfolio
I Am The World Trade center - The cover up,Musicboom.it,MusicBoom,2004-09-15,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040912232023,76,master-list; not in Squarespace portfolio
Illdisposed - Burn me wicked,Kronic.it,Kronic,2003-10-13,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14007,77,master-list; not in Squarespace portfolio
In Flames - Soundtrack To Your Escape,Kronic.it,Kronic,2004-04-12,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9843,78,master-list; not in Squarespace portfolio
Incubus - A crow left out of murder,Kronic.it,Kronic,2004-02-12,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9508,79,master-list; not in Squarespace portfolio
Inferno - Inferno,Kronic.it,Kronic,2004-01-19,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9401,80,master-list; not in Squarespace portfolio
Innocent X - Haut/bas,Musicboom.it,MusicBoom,2004-07-22,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040718175812,81,master-list; not in Squarespace portfolio
Iron maiden - Dance of death,Musicboom.it,MusicBoom,2004-01-06,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040105192930,82,master-list; not in Squarespace portfolio
IV Luna - Anteroom,Kronic.it,Kronic,2006-10-29,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14090,83,master-list; not in Squarespace portfolio
Karate - Pockets,Kronic.it,Kronic,2004-09-17,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=10672,84,master-list; not in Squarespace portfolio
Keane - Hopes And Fears,Kronic.it,Kronic,2004-07-02,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=10379,85,master-list; not in Squarespace portfolio
Kelis - Tasty,Musicboom.it,MusicBoom,2004-02-28,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040223205726,86,master-list; not in Squarespace portfolio
Kings Of Convenience - Riot On An Empty Street,Dedication.it,Dedication.it,2004-08-14,unknown,Music reviews,http://www.dedication.it/trlist-koc.htm,87,master-list; not in Squarespace portfolio
Korn - See you on the other side,Musicboom.it,MusicBoom,2005-12-29,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051223051950,88,master-list; not in Squarespace portfolio
Limp Bizkit - The Unquestionable Truth Pt. 1,Kronic.it,Kronic,2005-06-01,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=11850,89,master-list; not in Squarespace portfolio
Loscil - First narrows,Musicboom.it,MusicBoom,2004-09-22,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040913004249,90,master-list; not in Squarespace portfolio
Madrugada - The deep end,Musicboom.it,MusicBoom,2005-10-12,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051011064037,91,master-list; not in Squarespace portfolio
Magnitude Nine - Decoding the soul,Musicboom.it,MusicBoom,2004-03-16,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040303194148,92,master-list; not in Squarespace portfolio
Malevolent Creation - Warkult,Musicboom.it,MusicBoom,2004-07-08,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040705065948,93,master-list; not in Squarespace portfolio
Marmaja - Marmaja,Musicboom.it,MusicBoom,2004-07-02,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040624042342,94,master-list; not in Squarespace portfolio
Megadeth - The system has failed,Musicboom.it,MusicBoom,2004-10-08,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20041004002613,95,master-list; not in Squarespace portfolio
Meshuggah - I,Kronic.it,Kronic,2004-08-31,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=10614,96,master-list; not in Squarespace portfolio
Moist Vagina - Endless Line,Dedication.it,Dedication.it,2004-06-26,unknown,Music reviews,http://www.dedication.it/trlist-moist_vag.htm,97,master-list; not in Squarespace portfolio
Mollouw - 00:56/Kautokeino Desperation,Kronic.it,Kronic,2006-06-26,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13569,98,master-list; not in Squarespace portfolio
Monstrosity - Rise to power,Musicboom.it,MusicBoom,2004-04-06,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040328213231,99,master-list; not in Squarespace portfolio
"Napalm Death - Leader, not followers Pt. 2",Musicboom.it,MusicBoom,2004-10-14,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20041008024057,100,master-list; not in Squarespace portfolio
"New Year, the - The end is near",Musicboom.it,MusicBoom,2004-12-16,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20041216022053,101,master-list; not in Squarespace portfolio
Norma Jean - Redemeer,Kronic.it,Kronic,2007-01-16,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14473,102,master-list; not in Squarespace portfolio
"Øye, Erland - DJ kicks",Musicboom.it,MusicBoom,2004-06-23,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040621024001,103,master-list; not in Squarespace portfolio
P.O.D. - Payable on death,Kronic.it,Kronic,2004-01-26,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9425,104,master-list; not in Squarespace portfolio
Paatos - Kallocain,Musicboom.it,MusicBoom,2004-05-26,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040620210102,105,master-list; not in Squarespace portfolio
Pan American - Quiet city,Musicboom.it,MusicBoom,2005-01-19,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050115203019,106,master-list; not in Squarespace portfolio
Paradise Lost - Paradise Lost,Musicboom.it,MusicBoom,2005-04-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050401022101,107,master-list; not in Squarespace portfolio
Permanent Fatal Erro - Law speed,Musicboom.it,MusicBoom,2004-07-21,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040718063120,108,master-list; not in Squarespace portfolio
Picastro - Red your blues,Musicboom.it,MusicBoom,2004-09-18,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040912195723,109,master-list; not in Squarespace portfolio
Pleasant Grove - The art of leaving,Musicboom.it,MusicBoom,2004-08-09,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040731155222,110,master-list; not in Squarespace portfolio
Poverty's no crime - Chemical chaos,Musicboom.it,MusicBoom,2004-03-19,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040309213114,111,master-list; not in Squarespace portfolio
Prime STH - Beautiful Awakening,RockOn.it,RockOn.it,2004-07-06,unknown,Music reviews,http://www.rockon.it/modules.php?name=Reviews&rop=showcontent&id=658,112,master-list; not in Squarespace portfolio
Quarzo Nero - Ancora Vivo,Dedication.it,Dedication.it,2004-05-04,unknown,Music reviews,http://www.dedication.it/trlist-quarzonero.htm,113,master-list; not in Squarespace portfolio
Queens Of The Stone Age - Lullabies to paralyze,Musicboom.it,MusicBoom,2005-03-29,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050328192929,114,master-list; not in Squarespace portfolio
Raunchy - Death pop romance,Musicboom.it,MusicBoom,2006-08-03,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20060627031009,115,master-list; not in Squarespace portfolio
Reflue - Slo-mo,Musicboom.it,MusicBoom,2004-03-10,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040310213355,116,master-list; not in Squarespace portfolio
Relapsed - Into a former state,Kronic.it,Kronic,2006-10-19,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14031,117,master-list; not in Squarespace portfolio
Relevant Few - The art of today,Musicboom.it,MusicBoom,2004-07-23,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040718210230,118,master-list; not in Squarespace portfolio
Revolting Cocks - Cocked and loaded,Kronic.it,Kronic,2006-04-05,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13150,119,master-list; not in Squarespace portfolio
Riverside - Second life syndrome,Musicboom.it,MusicBoom,2006-02-26,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20060201055344,120,master-list; not in Squarespace portfolio
Royksopp - The understanding,Musicboom.it,MusicBoom,2005-09-16,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050915072011,121,master-list; not in Squarespace portfolio
Saga - Remember when (The very best of Saga),Kronic.it,Kronic,2007-02-19,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14624,122,master-list; not in Squarespace portfolio
"Saint Germain des Pres Cafe, Vol. 3",Rockshock.it,RockShock.it,2003-09-20,unknown,Music reviews,http://www.rockshock.it/news.asp?id=611,123,master-list; not in Squarespace portfolio
"Schaefer, Janek - Cold storage",Musicboom.it,MusicBoom,2004-10-15,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20041008032756,124,master-list; not in Squarespace portfolio
Sevendust - Seasons,Kronic.it,Kronic,2004-01-12,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13386,125,master-list; not in Squarespace portfolio
Sigur Ròs - Takk,Musicboom.it,MusicBoom,2005-09-19,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050919052110,126,master-list; not in Squarespace portfolio
Silent Drive - Rock H Design,Nerds Attack !,Nerds Attack!,2003-09-02,unknown,Music reviews,http://www.musicaroma.it/nerds/articolone.asp?ID=557,127,master-list; not in Squarespace portfolio
Silent Drive - Rock H Design,Dedication.it,Dedication.it,2003-08-21,unknown,Music reviews,http://www.dedication.it/trlist-silent_d.htm,128,master-list; not in Squarespace portfolio
Skitsystem - Stigmata,Kronic.it,Kronic,2006-05-20,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13386,129,master-list; not in Squarespace portfolio
Slipknot - Vol. 3: (The Subliminal Verses),Musicboom.it,MusicBoom,2004-06-11,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040609040000,130,master-list; not in Squarespace portfolio
Sophia - People Are Like Seasons,Musicboom.it,MusicBoom,2004-01-30,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040130154913,131,master-list; not in Squarespace portfolio
Sophia - People Are Like Seasons,Kronic.it,Kronic,2003-12-29,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9295,132,master-list; not in Squarespace portfolio
Sottopelle - Assioma Zero,Dedication.it,Dedication.it,2004-06-05,unknown,Music reviews,http://www.dedication.it/trlist-sottopelle.htm,133,master-list; not in Squarespace portfolio
Soulfly - Darg ages,Musicboom.it,MusicBoom,2005-11-15,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051112194046,134,master-list; not in Squarespace portfolio
Statistics - Leave your name,Musicboom.it,MusicBoom,2004-03-22,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040316221323,135,master-list; not in Squarespace portfolio
Stereolab - Margerine eclipse ,Musicboom.it,MusicBoom,2004-02-29,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040229215450,136,master-list; not in Squarespace portfolio
Stone Sour - Come what(ever) may,Kronic.it,Kronic,2006-10-16,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14008,137,master-list; not in Squarespace portfolio
"Streets, the - A grand don't come for free",Musicboom.it,MusicBoom,2004-05-27,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040525041853,138,master-list; not in Squarespace portfolio
"Strokes, the - Room on fire",Musicboom.it,MusicBoom,2003-10-27,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20031026103214,139,master-list; not in Squarespace portfolio
Subzero - Suffering of man,Kronic.it,Kronic,2006-04-07,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13162,140,master-list; not in Squarespace portfolio
System Of A Down - Mesmerize,Musicboom.it,MusicBoom,2005-05-25,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050524230116,141,master-list; not in Squarespace portfolio
Terror - Always the hard way,Kronic.it,Kronic,2006-11-20,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14203,142,master-list; not in Squarespace portfolio
The Psychos - Demo 2003,Dedication.it,Dedication.it,2004-03-06,unknown,Music reviews,http://www.dedication.it/trlist-psychos.htm,143,master-list; not in Squarespace portfolio
Throwdown - Vendetta,Musicboom.it,MusicBoom,2005-12-20,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051113204047,144,master-list; not in Squarespace portfolio
Thyrane - Travesty Of Heavenly Essence,Kronic.it,Kronic,2006-05-10,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13334,145,master-list; not in Squarespace portfolio
Tikal - Tikal ,Musicboom.it,MusicBoom,2005-04-16,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050406211943,146,master-list; not in Squarespace portfolio
